Time,Voltage
14.4355,-0.168714
14.4365,-0.338293
14.4375,-0.362573
14.4385,-0.257979
14.4395,-0.0937104
14.4404,0.109649
14.4414,0.245277
14.4424,0.223475
14.4434,0.270321
14.4443,0.522211
14.4453,0.730946
14.4463,0.721091
14.4473,0.546129
14.4482,0.193757
14.4492,-0.322463
14.4502,-0.727045
14.4512,-0.791235
14.4521,-0.594125
14.4531,-0.307121
14.4541,-0.0562528
14.4551,0.0439875
14.4561,-0.0207849
14.457,-0.0945439
14.458,-0.0171467
14.459,0.174292
14.46,0.224695
14.4609,0.0588049
14.4619,-0.0277359
14.4629,-0.0319314
14.4639,-0.178805
14.4648,-0.236163
14.4658,-0.0694174
14.4668,0.0849595
14.4678,0.193761
14.4688,0.17179
14.4697,0.234391
14.4707,0.707891
14.4717,0.599325
14.4727,-0.341347
14.4736,-0.715504
14.4746,-0.464316
14.4756,-0.262455
14.4766,-0.0424347
14.4775,0.176546
14.4785,0.202996
14.4795,0.130114
14.4805,0.305053
14.4814,0.588132
14.4824,0.744949
14.4834,0.851642
14.4844,0.633427
14.4854,0.083187
14.4863,-0.301106
14.4873,-0.359357
14.4883,-0.282919
14.4893,-0.228097
14.4902,-0.231602
14.4912,-0.304253
14.4922,-0.433645
14.4932,-0.528457
14.4941,-0.504944
14.4951,-0.368335
14.4961,-0.0726114
14.4971,0.431225
14.498,0.870167
14.499,0.861959
14.5,0.42715
14.501,0.0295813
14.502,-0.00516676
14.5029,0.00206685
14.5039,-0.133635
14.5049,0.014419
14.5059,0.351454
14.5068,0.344406
14.5078,0.120413
14.5088,-0.0528328
14.5098,-0.251562
14.5107,-0.418212
14.5117,-0.46223
14.5127,-0.462949
14.5137,-0.437065
14.5146,-0.314043
14.5156,-0.165306
14.5166,-0.0691936
14.5176,-0.0114171
14.5186,-0.0961997
14.5195,-0.191008
14.5205,-0.0939107
14.5215,0.401929
14.5225,1.15178
14.5234,0.750831
14.5244,-0.563199
14.5254,-0.899908
14.5264,-0.732522
14.5273,-0.826293
14.5283,-0.679618
14.5293,-0.480569
14.5303,-0.461473
14.5313,-0.405082
14.5322,-0.246329
14.5332,-0.032565
14.5342,0.377152
14.5352,0.961656
14.5361,1.13474
14.5371,0.67689
14.5381,0.0972087
14.5391,-0.261997
14.54,-0.361292
14.541,-0.243499
14.542,-0.108565
14.543,-0.0258523
14.5439,0.0698787
14.5449,0.0816752
14.5459,-0.00949069
14.5469,-0.0593788
14.5479,-0.0682609
14.5488,-0.152763
14.5498,-0.261918
14.5508,-0.196205
14.5518,0.0187927
14.5527,0.123738
14.5537,0.0918276
14.5547,0.215663
14.5557,0.616616
14.5566,0.948554
14.5576,0.843703
14.5586,0.423986
14.5596,0.0208117
14.5605,-0.236612
14.5615,-0.371112
14.5625,-0.481663
14.5635,-0.456221
14.5645,-0.183571
14.5654,-0.0926097
14.5664,-0.32234
14.5674,-0.433172
14.5684,-0.26093
14.5693,-0.0149812
14.5703,0.0817136
14.5713,0.0459089
14.5723,-0.00358655
14.5732,0.372294
14.5742,0.941889
14.5752,0.407157
14.5762,-0.568995
14.5771,-0.493237
14.5781,-0.0334001
14.5791,0.0518965
14.5801,-0.104497
14.5811,-0.351155
14.582,-0.48061
14.583,-0.39209
14.584,-0.128632
14.585,0.107038
14.5859,0.146976
14.5869,0.108321
14.5879,0.144354
14.5889,0.214581
14.5898,0.196302
14.5908,0.113295
14.5918,0.0838788
14.5928,0.141652
14.5938,0.214771
14.5947,0.158692
14.5957,-0.0699592
14.5967,-0.271571
14.5977,-0.248997
14.5986,-0.0753674
14.5996,0.0557176
14.6006,0.0294976
14.6016,-0.098574
14.6025,-0.0731685
14.6035,0.102388
14.6045,0.14717
14.6055,0.172594
14.6064,0.354199
14.6074,0.478581
14.6084,0.397018
14.6094,0.159646
14.6104,-0.106859
14.6113,-0.264306
14.6123,-0.277075
14.6133,-0.176219
14.6143,-0.144423
14.6152,-0.315543
14.6162,-0.415738
14.6172,-0.288799
14.6182,-0.186578
14.6191,-0.139168
14.6201,0.0116511
14.6211,0.171725
14.6221,0.254407
14.623,0.419386
14.624,0.670254
14.625,0.69446
14.626,0.407185
14.627,0.0436659
14.6279,-0.281756
14.6289,-0.561189
14.6299,-0.734873
14.6309,-0.76853
14.6318,-0.60047
14.6328,-0.246754
14.6338,0.00558661
14.6348,0.0687728
14.6357,0.155659
14.6367,0.238502
14.6377,0.2153
14.6387,0.13975
14.6396,0.089643
14.6406,0.115386
14.6416,0.124209
14.6426,0.0464183
14.6436,-0.0870617
14.6445,-0.284167
14.6455,-0.37362
14.6465,-0.181794
14.6475,0.0872418
14.6484,0.198362
14.6494,0.193814
14.6504,0.319991
14.6514,0.640487
14.6523,0.733865
14.6533,0.432527
14.6543,0.111704
14.6553,-0.0817359
14.6563,-0.193089
14.6572,-0.161592
14.6582,-0.066792
14.6592,-0.0560123
14.6602,-0.103237
14.6611,-0.140786
14.6621,-0.202683
14.6631,-0.300208
14.6641,-0.422958
14.665,-0.448808
14.666,-0.127761
14.667,0.291176
14.668,0.283924
14.6689,0.0290032
14.6699,-0.0586052
14.6709,-0.0258682
14.6719,0.0390983
14.6729,0.0740328
14.6738,-0.00584701
14.6748,-0.0254943
14.6758,0.0684221
14.6768,0.138865
14.6777,0.2008
14.6787,0.157905
14.6797,-0.0602522
14.6807,-0.272261
14.6816,-0.351129
14.6826,-0.331813
14.6836,-0.247431
14.6846,0.0025744
14.6855,0.246012
14.6865,0.129342
14.6875,-0.175888
14.6885,-0.393746
14.6895,-0.473499
14.6904,-0.356743
14.6914,-0.268467
14.6924,-0.309611
14.6934,-0.111015
14.6943,0.294463
14.6953,0.550699
14.6963,0.641098
14.6973,0.51933
14.6982,0.17726
14.6992,-0.0741264
14.7002,-0.145385
14.7012,-0.198185
14.7021,-0.218349
14.7031,-0.101547
14.7041,0.134694
14.7051,0.295942
14.7061,0.223073
14.707,0.0399964
14.708,-0.0922078
14.709,-0.202958
14.71,-0.342271
14.7109,-0.465318
14.7119,-0.437103
14.7129,-0.204826
14.7139,0.0633842
14.7148,0.235176
14.7158,0.299783
14.7168,0.337471
14.7178,0.564713
14.7188,0.839732
14.7197,0.718442
14.7207,0.314215
14.7217,-0.00289251
14.7227,-0.219101
14.7236,-0.279547
